Crate-A-Files�,Grant Carroll,Northwest Territories,Storage & Organization,0.59
Bell Sonecor JB700 Caller ID,Grant Carroll,Northwest Territories,Telephones and Communication,0.6
Holmes 99% HEPA Air Purifier,Skye Norling,Northwest Territories,Appliances,0.52
Xerox 224,Doug Bickford,Northwest Territories,Paper,0.37
Xerox 1906,Grant Carroll,Northwest Territories,Paper,0.38
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Muhammed MacIntyre,Northwest Territories,Binders and Binder Accessories,0.37
Xerox 188,Muhammed MacIntyre,Northwest Territories,Paper,0.36
Xerox 1932,Muhammed MacIntyre,Northwest Territories,Paper,0.38
GBC Linen Binding Covers,Doug Bickford,Northwest Territories,Binders and Binder Accessories,0.37
GBC Recycled Grain Textured Covers,Doug Bickford,Northwest Territories,Binders and Binder Accessories,0.37
"Sauder Facets Collection Library, Sky Alder Finish",Beth Thompson,Northwest Territories,Bookcases,0.69
"Fellowes Basic 104-Key Keyboard, Platinum",Ralph Knight,Northwest Territories,Computer Peripherals,0.6
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Carl Jackson,Northwest Territories,Appliances,0.55
O'Sullivan 3-Shelf Heavy-Duty Bookcases,Carl Jackson,Northwest Territories,Bookcases,0.61
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Dorothy Badders,Northwest Territories,Office Furnishings,0.37
Panasonic KX-P1150 Dot Matrix Printer,Dorothy Badders,Northwest Territories,Office Machines,0.56
Newell 327,Dorothy Badders,Northwest Territories,Pens & Art Supplies,0.58
Xerox 1893,Delfina Latchford,Northwest Territories,Paper,0.36
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Julia West,Northwest Territories,Chairs & Chairmats,0.55
Eldon Radial Chair Mat for Low to Medium Pile Carpets,Julia West,Northwest Territories,Office Furnishings,0.65
"DAX Copper Panel Document Frame, 5 x 7 Size",Brad Eason,Northwest Territories,Office Furnishings,0.43
O'Sullivan 2-Shelf Heavy-Duty Bookcases,Thomas Seio,Northwest Territories,Bookcases,0.69
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Thomas Seio,Northwest Territories,Office Furnishings,0.65
"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Thomas Seio,Northwest Territories,Paper,0.38
"Memorex Slim 80 Minute CD-R, 10/Pack",Monica Federle,Northwest Territories,Computer Peripherals,0.43
Aluminum Document Frame,Monica Federle,Northwest Territories,Office Furnishings,0.55
"Memorex 80 Minute CD-R Spindle, 100/Pack",Michelle Lonsdale,Northwest Territories,Computer Peripherals,0.44
"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Frank Price,Northwest Territories,Storage & Organization,0.57
Accessory36,Frank Price,Northwest Territories,Telephones and Communication,0.83
Xerox 20,Bryan Davis,Northwest Territories,Paper,0.37
Surelock� Post Binders,Don Jones,Northwest Territories,Binders and Binder Accessories,0.35
Colorific� Watercolor Pencils,Carlos Soltero,Northwest Territories,Pens & Art Supplies,0.56
"*Staples* vLetter Openers, 2/Pack",Carlos Soltero,Northwest Territories,"Scissors, Rulers and Trimmers",0.83
Hon 4700 Series Mobuis� Mid-Back Task Chairs with Adjustable Arms,Nicole Hansen,Northwest Territories,Chairs & Chairmats,0.64
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Nicole Hansen,Northwest Territories,Tables,0.77
Eldon Econocleat� Chair Mats for Low Pile Carpets,Beth Thompson,Northwest Territories,Office Furnishings,0.73
Prang Drawing Pencil Set,Beth Thompson,Northwest Territories,Pens & Art Supplies,0.58
T39m,Beth Thompson,Northwest Territories,Telephones and Communication,0.55
Xerox 1982,Nicole Hansen,Northwest Territories,Paper,0.39
Xerox 1924,Carlos Soltero,Northwest Territories,Paper,0.36
Turquoise Lead Holder with Pocket Clip,Carlos Soltero,Northwest Territories,Pens & Art Supplies,0.52
Okidata ML395C Color Dot Matrix Printer,Dorothy Badders,Northwest Territories,Office Machines,0.59
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Muhammed MacIntyre,Northwest Territories,Chairs & Chairmats,0.77
Microsoft Internet Keyboard,Muhammed MacIntyre,Northwest Territories,Computer Peripherals,0.78
Xerox 1982,Don Miller,Northwest Territories,Paper,0.39
Global Ergonomic Managers Chair,Sylvia Foulston,Northwest Territories,Chairs & Chairmats,0.59
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Becky Castell,Northwest Territories,Chairs & Chairmats,0.78
Xerox 1971,Dorothy Wardle,Northwest Territories,Paper,0.4
Eldon Portable Mobile Manager,Dorothy Wardle,Northwest Territories,Storage & Organization,0.58
Accessory6,Dorothy Wardle,Northwest Territories,Telephones and Communication,0.8
Durable Pressboard Binders,Ann Chong,Northwest Territories,Binders and Binder Accessories,0.38
Fellowes 17-key keypad for PS/2 interface,Ann Chong,Northwest Territories,Computer Peripherals,0.75
StarTAC ST7762,Ann Chong,Northwest Territories,Telephones and Communication,0.57
Accessory21,Clay Rozendal,Northwest Territories,Telephones and Communication,0.37
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Grant Carroll,Northwest Territories,Binders and Binder Accessories,0.35
Staples 6 Outlet Surge,Brendan Dodson,Northwest Territories,Appliances,0.58
Recycled Eldon Regeneration Jumbo File,Carlos Daly,Northwest Territories,Storage & Organization,0.57
Verbatim DVD-R 4.7GB authoring disc,Alan Barnes,Northwest Territories,Computer Peripherals,0.51
Canon P1-DHIII Palm Printing Calculator,Alan Barnes,Northwest Territories,Office Machines,0.4
GBC Binding covers,Alan Barnes,Northwest Territories,Binders and Binder Accessories,0.4
Newell 323,Nicole Hansen,Northwest Territories,Pens & Art Supplies,0.59
"Global Stack Chair without Arms, Black",Cari Schnelling,Northwest Territories,Chairs & Chairmats,0.6
"Speediset Carbonless Redi-Letter� 7"" x 8 1/2""",Chad Cunningham,Northwest Territories,Paper,0.38
GBC Recycled Regency Composition Covers,Bryan Mills,Northwest Territories,Binders and Binder Accessories,0.39
Accessory29,Bryan Mills,Northwest Territories,Telephones and Communication,0.83
Newell 323,Adrian Hane,Northwest Territories,Pens & Art Supplies,0.59
SANFORD Major Accent� Highlighters,Adrian Hane,Northwest Territories,Pens & Art Supplies,0.47
Polycom ViaVideo� Desktop Video Communications Unit,Rick Reed,Northwest Territories,Office Machines,0.37
"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Heather Kirkland,Northwest Territories,Pens & Art Supplies,0.41
Accessory24,Fred Wasserman,Northwest Territories,Telephones and Communication,0.59
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Becky Castell,Northwest Territories,Office Furnishings,0.55
Recycled Steel Personal File for Standard File Folders,Becky Castell,Northwest Territories,Storage & Organization,0.59
"Eldon Expressions� Desk Accessory, Wood Pencil Holder, Oak",Beth Thompson,Northwest Territories,Office Furnishings,0.55
Accessory39,Claudia Miner,Northwest Territories,Telephones and Communication,0.81
Bell Sonecor JB700 Caller ID,Jack Lebron,Northwest Territories,Telephones and Communication,0.6
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Alan Barnes,Northwest Territories,Envelopes,0.36
GBC Standard Plastic Binding Systems Combs,Carlos Soltero,Northwest Territories,Binders and Binder Accessories,0.36
Xerox 1930,Clay Rozendal,Northwest Territories,Paper,0.36
Avery 474,Clay Rozendal,Northwest Territories,Labels,0.36
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Julia West,Northwest Territories,Bookcases,0.62
Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Alan Barnes,Northwest Territories,Office Machines,0.36
"IBM 80 Minute CD-R Spindle, 50/Pack",Joy Bell,Northwest Territories,Computer Peripherals,0.48
"Peel & Seel� Recycled Catalog Envelopes, Brown",Joy Bell,Northwest Territories,Envelopes,0.35
Avery 506,Joy Bell,Northwest Territories,Labels,0.39
Prang Drawing Pencil Set,Jack Lebron,Northwest Territories,Pens & Art Supplies,0.45
TDK 4.7GB DVD+RW,Anthony Johnson,Northwest Territories,Computer Peripherals,0.49
U.S. Robotics 56K Internet Call Modem,Anthony Johnson,Northwest Territories,Computer Peripherals,0.5
Xerox 190,Anthony Johnson,Northwest Territories,Paper,0.38
Standard Line� �While You Were Out� Hardbound Telephone Message Book,Eugene Barchas,Northwest Territories,Paper,0.39
CF 888,Eugene Barchas,Northwest Territories,Telephones and Communication,0.59
Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Thomas Seio,Northwest Territories,Office Machines,0.36
Dana Halogen Swing-Arm Architect Lamp,Bryan Mills,Northwest Territories,Office Furnishings,0.57
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Bryan Mills,Northwest Territories,Tables,
Lexmark Z25 Color Inkjet Printer,Eugene Barchas,Northwest Territories,Office Machines,0.37
Hon Multipurpose Stacking Arm Chairs,Sylvia Foulston,Northwest Territories,Chairs & Chairmats,0.59
Hon Olson Stacker Stools,Sylvia Foulston,Northwest Territories,Chairs & Chairmats,0.57
"Executive Impressions 14"" Two-Color Numerals Wall Clock",Carl Ludwig,Northwest Territories,Office Furnishings,0.44
12-1/2 Diameter Round Wall Clock,Julia West,Northwest Territories,Office Furnishings,0.49
Epson DFX5000+ Dot Matrix Printer,Don Jones,Northwest Territories,Office Machines,0.57
"Fellowes Basic 104-Key Keyboard, Platinum",Mike Pelletier,Northwest Territories,Computer Peripherals,0.6
"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Mike Pelletier,Northwest Territories,Envelopes,0.35
GBC Standard Therm-A-Bind Covers,Eugene Barchas,Northwest Territories,Binders and Binder Accessories,0.39
"80 Minute CD-R Spindle, 100/Pack - Staples",Ann Chong,Northwest Territories,Computer Peripherals,0.54
Xerox 1892,Ann Chong,Northwest Territories,Paper,0.36
Staples Paper Clips,Charles McCrossin,Northwest Territories,Rubber Bands,0.38
"Metal Folding Chairs, Beige, 4/Carton",Annie Cyprus,Northwest Territories,Chairs & Chairmats,0.58
"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Annie Cyprus,Northwest Territories,Computer Peripherals,0.52
Computer Printout Paper with Letter-Trim Perforations,Carlos Soltero,Northwest Territories,Paper,0.37
Bush Mission Pointe Library,Doug Bickford,Northwest Territories,Bookcases,0.65
Hon Olson Stacker Stools,Carlos Daly,Northwest Territories,Chairs & Chairmats,0.57
Xerox 1929,Fred Wasserman,Northwest Territories,Paper,0.39
Home/Office Personal File Carts,Fred Wasserman,Northwest Territories,Storage & Organization,0.6
Avery 507,Sylvia Foulston,Northwest Territories,Labels,0.39
i470,Michelle Lonsdale,Northwest Territories,Telephones and Communication,0.56
3M Organizer Strips,Sylvia Foulston,Northwest Territories,Binders and Binder Accessories,0.37
"Imation 3.5 IBM Diskettes, 10/Box",Sylvia Foulston,Northwest Territories,Computer Peripherals,0.79
"GE 4 Foot Flourescent Tube, 40 Watt",Sylvia Foulston,Northwest Territories,Office Furnishings,0.39
300 Series Non-Flip,Sylvia Foulston,Northwest Territories,Telephones and Communication,0.6
"Executive Impressions 13"" Chairman Wall Clock",Charlotte Melton,Northwest Territories,Office Furnishings,0.5
Micro Innovations 104 Keyboard,Barry French,Northwest Territories,Computer Peripherals,0.64
US Robotics 56K V.92 External Faxmodem,Heather Kirkland,Northwest Territories,Computer Peripherals,0.52
Fellowes Staxonsteel� Drawer Files,Heather Kirkland,Northwest Territories,Storage & Organization,0.71
Accessory39,Heather Kirkland,Northwest Territories,Telephones and Communication,0.81
Telescoping Adjustable Floor Lamp,Henry Goldwyn,Northwest Territories,Office Furnishings,0.6
Canon MP41DH Printing Calculator,Frank Price,Northwest Territories,Office Machines,0.38
"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Jim Radford,Northwest Territories,Storage & Organization,0.65
VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Jim Radford,Northwest Territories,Telephones and Communication,0.57
"Memo Book, 100 Message Capacity, 5 3/8� x 11�",Ralph Knight,Northwest Territories,Paper,0.35
Belkin 6 Outlet Metallic Surge Strip,Delfina Latchford,Northwest Territories,Appliances,0.59
Xerox 21,Delfina Latchford,Northwest Territories,Paper,0.37
GBC DocuBind TL200 Manual Binding Machine,Roy Skaria,Northwest Territories,Binders and Binder Accessories,0.38
"Sauder Forest Hills Library, Woodland Oak Finish",Roy Skaria,Northwest Territories,Bookcases,0.77
Xerox 1940,Monica Federle,Northwest Territories,Paper,0.36
Bagged Rubber Bands,Monica Federle,Northwest Territories,Rubber Bands,0.81
Xerox 1897,Charles McCrossin,Northwest Territories,Paper,0.36
Poly Designer Cover & Back,Don Miller,Northwest Territories,Binders and Binder Accessories,0.37
Bionaire Personal Warm Mist Humidifier/Vaporizer,Jeremy Lonsdale,Northwest Territories,Appliances,0.46
"Acme� 8"" Straight Scissors",Jeremy Lonsdale,Northwest Territories,"Scissors, Rulers and Trimmers",0.6
Heavy-Duty E-Z-D� Binders,Grant Carroll,Northwest Territories,Binders and Binder Accessories,0.38
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Carl Ludwig,Northwest Territories,Paper,0.36
Deluxe Rollaway Locking File with Drawer,Carlos Daly,Northwest Territories,Storage & Organization,0.57
252,Ralph Knight,Northwest Territories,Telephones and Communication,0.55
6160,Cindy Schnelling,Northwest Territories,Telephones and Communication,0.57
"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Claudia Miner,Northwest Territories,Computer Peripherals,0.79
Prismacolor Color Pencil Set,Roy Skaria,Northwest Territories,Pens & Art Supplies,0.44
Wilson Jones DublLock� D-Ring Binders,Delfina Latchford,Northwest Territories,Binders and Binder Accessories,0.35
Binder Posts,Edward Hooks,Northwest Territories,Binders and Binder Accessories,0.39
Epson LQ-570e Dot Matrix Printer,Edward Hooks,Northwest Territories,Office Machines,0.56
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Don Miller,Northwest Territories,Bookcases,0.59
Fellowes PB300 Plastic Comb Binding Machine,Grant Carroll,Northwest Territories,Binders and Binder Accessories,0.38
Rush Hierlooms Collection Rich Wood Bookcases,Grant Carroll,Northwest Territories,Bookcases,0.72
Avery 481,Brad Eason,Northwest Territories,Labels,0.37
Sharp AL-1530CS Digital Copier,Charles McCrossin,Northwest Territories,Copiers and Fax,0.36
"SAFCO Commercial Wire Shelving, Black",Charles McCrossin,Northwest Territories,Storage & Organization,
"Avery Trapezoid Extra Heavy Duty 4"" Binders",Charles McCrossin,Northwest Territories,Binders and Binder Accessories,0.35
Self-Adhesive Address Labels for Typewriters by Universal,Charles McCrossin,Northwest Territories,Labels,0.38
StarTAC Series,Bryan Mills,Northwest Territories,Telephones and Communication,0.55
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Monica Federle,Northwest Territories,Paper,0.36
Dana Halogen Swing-Arm Architect Lamp,Michelle Lonsdale,Northwest Territories,Office Furnishings,0.57
Global Comet� Stacking Armless Chair,Michelle Lonsdale,Northwest Territories,Chairs & Chairmats,0.57
Hon 4070 Series Pagoda� Armless Upholstered Stacking Chairs,Michelle Lonsdale,Northwest Territories,Chairs & Chairmats,0.56
"Fellowes Internet Keyboard, Platinum",Michelle Lonsdale,Northwest Territories,Computer Peripherals,0.74
Deluxe Rollaway Locking File with Drawer,Beth Thompson,Northwest Territories,Storage & Organization,0.57
Luxo Economy Swing Arm Lamp,Cindy Schnelling,Northwest Territories,Office Furnishings,0.57
"*Staples* vLetter Openers, 2/Pack",Cindy Schnelling,Northwest Territories,"Scissors, Rulers and Trimmers",0.83
Staples 6 Outlet Surge,Nicole Hansen,Northwest Territories,Appliances,0.58
Acco Perma� 2700 Stacking Storage Drawers,Nicole Hansen,Northwest Territories,Storage & Organization,0.7
Fellowes Stor/Drawer� Steel Plus� Storage Drawers,Nicole Hansen,Northwest Territories,Storage & Organization,0.79
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Cari Schnelling,Northwest Territories,Appliances,0.52
"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Cari Schnelling,Northwest Territories,Computer Peripherals,0.55
Lock-Up Easel 'Spel-Binder',Roy Skaria,Northwest Territories,Binders and Binder Accessories,0.38
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Susan Vittorini,Northwest Territories,Paper,0.39
"Tenex File Box, Personal Filing Tote with Lid, Black",Susan Vittorini,Northwest Territories,Storage & Organization,0.59
